context,action,reward,"Q(c,23)","Q(c,14)","Q(c,8)","Q(c,3)"
punishment,23,-23,-6.232989585008974,-4.592999721385503,-1.8705049122498623,-1.565482815765652
neutral,14,14,-1.4853765482040004,0.6905720753443123,-1.980033960026125,-0.5060214098019948
neutral,14,14,-1.4853765482040004,2.0215148678098815,-1.980033960026125,-0.5060214098019948
reward,23,23,19.12953891578515,3.794007288171364,0.5680334792442245,0.5700270303975022
reward,23,23,19.516585024206634,3.794007288171364,0.5680334792442245,0.5700270303975022
punishment,23,-23,-7.909690626508077,-4.592999721385503,-1.8705049122498623,-1.565482815765652
neutral,14,-14,-1.4853765482040004,0.4193633810288935,-1.980033960026125,-0.5060214098019948
punishment,3,-3,-7.909690626508077,-4.592999721385503,-1.8705049122498623,-1.7089345341890867
punishment,3,-3,-7.909690626508077,-4.592999721385503,-1.8705049122498623,-1.8380410807701781
punishment,3,-3,-7.909690626508077,-4.592999721385503,-1.8705049122498623,-1.9542369726931603
punishment,3,-3,-7.909690626508077,-4.592999721385503,-1.8705049122498623,-2.0588132754238444
neutral,3,-3,-1.4853765482040004,0.4193633810288935,-1.980033960026125,-0.7554192688217953
neutral,23,23,0.9631611066164001,0.4193633810288935,-1.980033960026125,-0.7554192688217953
reward,23,23,19.86492652178597,3.794007288171364,0.5680334792442245,0.5700270303975022
punishment,14,-14,-7.909690626508077,-5.533699749246953,-1.8705049122498623,-2.0588132754238444
reward,23,23,20.178433869607375,3.794007288171364,0.5680334792442245,0.5700270303975022
punishment,8,8,-7.909690626508077,-5.533699749246953,-0.883454421024876,-2.0588132754238444
neutral,23,-23,-1.4331550040452399,0.4193633810288935,-1.980033960026125,-0.7554192688217953
neutral,3,3,-1.4331550040452399,0.4193633810288935,-1.980033960026125,-0.37987734193961575
reward,23,23,20.460590482646637,3.794007288171364,0.5680334792442245,0.5700270303975022
punishment,3,-3,-7.909690626508077,-5.533699749246953,-0.883454421024876,-2.15293194788146
reward,23,23,20.714531434381975,3.794007288171364,0.5680334792442245,0.5700270303975022
punishment,3,-3,-7.909690626508077,-5.533699749246953,-0.883454421024876,-2.237638753093314
neutral,8,-8,-1.4331550040452399,0.4193633810288935,-2.5820305640235124,-0.37987734193961575
punishment,8,-8,-7.909690626508077,-5.533699749246953,-1.5951089789223885,-2.237638753093314
reward,23,23,20.943078290943777,3.794007288171364,0.5680334792442245,0.5700270303975022
neutral,3,3,-1.4331550040452399,0.4193633810288935,-2.5820305640235124,-0.041889607745654145
neutral,3,3,-1.4331550040452399,0.4193633810288935,-2.5820305640235124,0.2622993530289113
punishment,3,-3,-7.909690626508077,-5.533699749246953,-1.5951089789223885,-2.3138748777839826
punishment,8,8,-7.909690626508077,-5.533699749246953,-0.6355980810301496,-2.3138748777839826
neutral,14,14,-1.4331550040452399,1.7774270429260042,-2.5820305640235124,0.2622993530289113
punishment,8,-8,-7.909690626508077,-5.533699749246953,-1.3720382729271345,-2.3138748777839826
neutral,14,-14,-1.4331550040452399,0.19968433863340374,-2.5820305640235124,0.2622993530289113
reward,23,23,21.1487704618494,3.794007288171364,0.5680334792442245,0.5700270303975022
neutral,3,-3,-1.4331550040452399,0.19968433863340374,-2.5820305640235124,-0.06393058227397991
punishment,8,8,-7.909690626508077,-5.533699749246953,-0.434834445634421,-2.3138748777839826
reward,23,-23,16.733893415664458,3.794007288171364,0.5680334792442245,0.5700270303975022
reward,23,23,17.36050407409801,3.794007288171364,0.5680334792442245,0.5700270303975022
reward,23,-23,13.324453666688209,3.794007288171364,0.5680334792442245,0.5700270303975022
